text,label
Your Netflix subscription has expired. Update payment to continue streaming.,1
GitHub: Security vulnerability found in your repository. Fix immediately.,1
Please confirm your availability for the client meeting next Tuesday.,0
Microsoft Security: Unusual sign-in activity. Secure your account now.,1
The training materials for the new software are now available online.,0
Your package delivery failed. Click to reschedule or it will be returned.,1
Welcome to our service! Here's how to get started with your new account.,0
The system maintenance window is scheduled for this weekend.,0
Zoom: Your meeting recording is ready. Download before it expires.,1
Congratulations! You've won a $1000 gift card. Claim now before it expires.,1
LinkedIn: You have a new connection request from a recruiter.,1
SECURITY ALERT: Suspicious login detected. Verify your identity at this link.,1
"Dear team, please find attached the quarterly report for your review.",0
Please update your contact information in the employee portal.,0
Please review the attached document and provide feedback by Friday.,0
The quarterly budget review has been scheduled for next week.,0
"Hi team, here are the updated project specifications as requested.",0
Dropbox: Your storage is almost full. Upgrade now for 50% off.,1
Atlassian: Critical security patch required. Apply update now.,1
Your expense report has been approved and will be processed this week.,0
Adobe: Your Creative Cloud subscription will renew tomorrow. Cancel here.,1
Bank of America: Verify your identity to prevent account closure.,1
PayPal Alert: Your account is limited. Resolve by clicking this link.,1
We're hiring! Check out our latest job openings on the careers page.,0
Meeting reminder: Project kickoff tomorrow at 10 AM in Conference Room B.,0
IRS NOTICE: You owe back taxes. Pay immediately to avoid legal action.,1
Your password has been successfully reset. Please log in with your new credentials.,0
Reminder: Annual compliance training is due by end of month.,0
